	Domain	Group	Clade	Kingdom	Subkingdom	Division	Subdivision	Class	Order	Family	Genus	Species
Kodamaea_ohmeri	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Metschnikowiaceae	Kodamaea	Kodamaea ohmeri
Komagataella_kurtzmanii	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Phaffomycetaceae	Komagataella	Komagataella kurtzmanii
Komagataella_pastoris	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Phaffomycetaceae	Komagataella	Komagataella pastoris
Komagataella_phaffii	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Phaffomycetaceae	Komagataella	Komagataella phaffii
Komagataella_pseudopastoris	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Phaffomycetaceae	Komagataella	Komagataella pseudopastoris
Kondoa_changbaiensis	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Pucciniomycotina	Agaricostilbomycetes	Agaricostilbales	Kondoaceae	Kondoa	Kondoa changbaiensis
Kondoa_miscanthi	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Pucciniomycotina	Agaricostilbomycetes	Agaricostilbales	Kondoaceae	Kondoa	Kondoa miscanthi
Kondoa_phyllada	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Pucciniomycotina	Agaricostilbomycetes	Agaricostilbales	Kondoaceae	Kondoa	Kondoa phyllada
Kondoa_sorbi	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Pucciniomycotina	Agaricostilbomycetes	Agaricostilbales	Kondoaceae	Kondoa	Kondoa sorbi
Kondoa_subrosea	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Pucciniomycotina	Agaricostilbomycetes	Agaricostilbales	Kondoaceae	Kondoa	Kondoa subrosea
Kondoa_thailandica	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Pucciniomycotina	Agaricostilbomycetes	Agaricostilbales	Kondoaceae	Kondoa	Kondoa thailandica
Kregervanrija_fluxuum	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Pichiaceae	Kregervanrija	Kregervanrija fluxuum
Kriegeria_eriophori	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Pucciniomycotina	Microbotryomycetes	Kriegeriales	Kriegeriaceae	Kriegeria	Kriegeria eriophori
Kuehneromyces_rostratus	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricales	Strophariaceae	Kuehneromyces	Kuehneromyces rostratus
Kuraishia_capsulata	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Incertae Sedis	Kuraishia	Kuraishia capsulata
Kuraishia_floccosa	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Incertae Sedis	Kuraishia	Kuraishia floccosa
Kuraishia_hungarica	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Incertae Sedis	Kuraishia	Kuraishia hungarica
Kuraishia_molischiana	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Incertae Sedis	Kuraishia	Kuraishia molischiana
Kusaghiporia_usambarensis	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes	Polyporales	Laetiporaceae	Laetiporaceae	Laetiporaceae sp. 'Kusaghiporia usambarensis'
Kwoniella_bestiolae	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Tremellomycetes	Tremellales	Cryptococcaceae	Kwoniella	Kwoniella bestiolae
Kwoniella_botswanensis	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Tremellomycetes	Tremellales	Cryptococcaceae	Kwoniella	Kwoniella botswanensis
Kwoniella_dejecticola	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Tremellomycetes	Tremellales	Cryptococcaceae	Kwoniella	Kwoniella dejecticola
Kwoniella_europaea	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Tremellomycetes	Tremellales	Cryptococcaceae	Kwoniella	Kwoniella europaea
Kwoniella_mangroviensis	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Tremellomycetes	Tremellales	Cryptococcaceae	Kwoniella	Kwoniella mangrovensis
Kwoniella_pini	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Tremellomycetes	Tremellales	Cryptococcaceae	Kwoniella	Kwoniella pini
Laccaria_aff.	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricales	Tricholomataceae	Laccaria	Laccaria_aff.
Laccaria_alba	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricales	Tricholomataceae	Laccaria	Laccaria alba
Laccaria_amethystina	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricales	Tricholomataceae	Laccaria	Laccaria amethystina LaAM-08-1
Laccaria_canaliculata	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricales	Tricholomataceae	Laccaria	Laccaria canaliculata
Laccaria_cf.	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricales	Tricholomataceae	Laccaria	Laccaria_cf.
Laccaria_laccata	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricales	Tricholomataceae	Laccaria	Laccaria laccata
Laccaria_macrocystidia	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricales	Tricholomataceae	Laccaria	Laccaria macrocystidia
Laccaria_pumila	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricales	Tricholomataceae	Laccaria	Laccaria pumila
Laccaria_tortilis	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricales	Tricholomataceae	Laccaria	Laccaria tortilis
Laccaria_trullisata	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricales	Tricholomataceae	Laccaria	Laccaria trullisata
Lachancea_cidri	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Lachancea	Lachancea cidri
Lachancea_fermentati	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Lachancea	Lachancea fermentati
Lachancea_kluyveri	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Lachancea	Lachancea kluyveri NRRL Y-12651
Lachancea_lanzarotensis	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Lachancea	Lachancea lanzarotensis
Lachancea_thermotolerans	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Lachancea	Lachancea thermotolerans
Lachancea_waltii	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Lachancea	Lachancea waltii NCYC 2644
Lachnella_villosa	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricales	Tricholomataceae	Lachnella	Lachnella villosa
Lachnum_virgineum	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Ascomycota	Pezizomycotina	Leotiomycetes	Helotiales	Hyaloscyphaceae	Lachnum	Lachnum virgineum
Lacrymaria_lacrymabunda	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricales	Agaricaceae	Lacrymaria	Lacrymaria lacrymabunda
Lacrymaria_rigidipes	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricales	Agaricaceae	Lacrymaria	Lacrymaria rigidipes
Lactarius_corrugis	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes	Russulales	Russulaceae	Lactifluus	Lactifluus corrugis
